id,round,date,home_team,tf,away_team,home_score,away_score
1,1,Sat Sep 12 2020,Fulham,0–3,Arsenal,0,3
2,1,Sat Sep 12 2020,Crystal Palace,1–0,Southampton,1,0
3,1,Sat Sep 12 2020,Liverpool,4–3,Leeds United,4,3
4,1,Sat Sep 12 2020,West Ham,0–2,Newcastle Utd,0,2
5,1,Sun Sep 13 2020,West Brom,0–3,Leicester City,0,3
6,1,Sun Sep 13 2020,Tottenham,0–1,Everton,0,1
7,1,Mon Sep 14 2020,Sheffield Utd,0–2,Wolves,0,2
8,1,Mon Sep 14 2020,Brighton,1–3,Chelsea,1,3
9,1,Tue Jan 12 2021(P),Burnley,0–1,Manchester Utd,0,1
10,1,Wed Jan 20 2021(P),Manchester City,2–0,Aston Villa,2,0
11,2,Sat Sep 19 2020,Everton,5–2,West Brom,5,2
12,2,Sat Sep 19 2020,Leeds United,4–3,Fulham,4,3
13,2,Sat Sep 19 2020,Manchester Utd,1–3,Crystal Palace,1,3
14,2,Sat Sep 19 2020,Arsenal,2–1,West Ham,2,1
15,2,Sun Sep 20 2020,Southampton,2–5,Tottenham,2,5
16,2,Sun Sep 20 2020,Newcastle Utd,0–3,Brighton,0,3
17,2,Sun Sep 20 2020,Chelsea,0–2,Liverpool,0,2
18,2,Sun Sep 20 2020,Leicester City,4–2,Burnley,4,2
19,2,Mon Sep 21 2020,Aston Villa,1–0,Sheffield Utd,1,0
20,2,Mon Sep 21 2020,Wolves,1–3,Manchester City,1,3
21,3,Sat Sep 26 2020,Brighton,2–3,Manchester Utd,2,3
22,3,Sat Sep 26 2020,Crystal Palace,1–2,Everton,1,2
23,3,Sat Sep 26 2020,West Brom,3–3,Chelsea,3,3
24,3,Sat Sep 26 2020,Burnley,0–1,Southampton,0,1
25,3,Sun Sep 27 2020,Sheffield Utd,0–1,Leeds United,0,1
26,3,Sun Sep 27 2020,Tottenham,1–1,Newcastle Utd,1,1
27,3,Sun Sep 27 2020,Manchester City,2–5,Leicester City,2,5
28,3,Sun Sep 27 2020,West Ham,4–0,Wolves,4,0
